molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,mean_standard_value
CHEMBL178578,O=C(O)[C@H](c1ccccc1)N1C(=O)c2cc(I)ccc2NC(=O)[C@@H]1c1ccc(C(F)(F)F)cc1,IC50,1700.0,nM,1700.0
CHEMBL361103,O=C(O)[C@H](c1ccc(Cl)cc1)N1C(=O)c2cc(I)ccc2NC(=O)[C@@H]1c1ccc(Cl)cc1,IC50,200.0,nM,33408.0
CHEMBL182051,C[C@H](c1ccc(Cl)cc1)N(C(=O)/C=C/c1ccccc1)[C@H](C(N)=O)c1ccc(Cl)cc1,IC50,30000.0,nM,30000.0
CHEMBL360540,C[C@H](c1ccc(Cl)cc1)N1C(=O)C=C(c2ccccc2)N(CCCCC(=O)O)C(=O)[C@@H]1c1ccc(Cl)cc1,IC50,13000.0,nM,13000.0
CHEMBL427316,C[C@H](c1ccc(Cl)cc1)N1C(=O)C=C(c2ccccc2Br)N(CCCCC(=O)O)C(=O)[C@@H]1c1ccc(Cl)cc1,IC50,3600.0,nM,3600.0
CHEMBL425528,O=C(O)C(c1ccccc1)N(Cc1ccc(C(F)(F)F)cc1)C(=O)c1cccc(I)c1,IC50,15000.0,nM,15000.0
CHEMBL199341,C=C(C(=O)O)C(CCCCCC)C(=O)O,IC50,50.0,ug.mL-1,50.0
CHEMBL191334,COc1ccc(C2=N[C@@H](c3ccc(Cl)cc3)[C@@H](c3ccc(Cl)cc3)N2C(=O)N2CCNC(=O)C2)c(OC(C)C)c1,IC50,1500.0,nM,4716.639130434783
CHEMBL379173,CC(C)(C)C[C@H]1N[C@@H](C(=O)NCCN2CCOCC2)[C@H](c2cccc(Cl)c2F)[C@@]12C(=O)Nc1cc(Cl)ccc12,IC50,280.0,nM,6102.766666666666
CHEMBL379505,CC(C)(C)C[C@H]1N[C@@H](C(=O)NCCN2CCOCC2)[C@H](c2cccc(Cl)c2)[C@@]12C(=O)Nc1cc(Cl)ccc12,IC50,800.0,nM,800.0
CHEMBL377614,C[C@H](c1ccc(Cl)cc1N)N1C(=O)c2cc(I)ccc2N(CCCCC(=O)O)C(=O)[C@@H]1c1ccc(Cl)cc1,IC50,250.0,nM,32083.333333333332
